cohort	gsm	stage	gene	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998300	1	LUM	611	20.6809866421473	545.599805139696	29544045	1.11986843515012
GSE135251	GSM3998301	3	LUM	3170	108.902011104089	2710.55620917544	29108737	1.16950166510818
GSE135251	GSM3998302	1	LUM	392	14.5160835799062	378.21430036288	27004529	1.03644944049946
GSE135251	GSM3998303	0	LUM	203	8.41998276765497	202.717886810237	24109313	1.00139165415643
GSE135251	GSM3998304	0	LUM	363	12.2093354125753	369.251458297486	29731348	0.983069915752508
GSE135251	GSM3998305	0	LUM	218	7.45219680677469	174.194620328637	29253119	1.25147378023914
GSE135251	GSM3998306	1	LUM	271	10.2554589410592	288.758822090499	26424951	0.938499464840823
GSE135251	GSM3998307	0	LUM	254	9.15096384688362	206.43766118596	27756639	1.2303956484529
GSE135251	GSM3998308	3	LUM	830	28.08385419296	665.564055351775	29554348	1.24706253789699
GSE135251	GSM3998309	3	LUM	1308	46.3587702393424	1226.11675306993	28214726	1.06678258552871
GSE135251	GSM3998310	1	LUM	307	13.703836873454	370.805079263497	22402485	0.827928249013663
GSE135251	GSM3998311	1	LUM	664	18.4475887334575	506.903740080371	35993864	1.30991339676192
GSE135251	GSM3998312	2	LUM	602	21.4395206436586	546.555884661925	28078986	1.1014427195718
GSE135251	GSM3998313	2	LUM	1308	55.7315844182671	1141.93115801426	23469636	1.14542806790081
GSE135251	GSM3998314	3	LUM	2774	96.0733598720693	2242.85314197107	28873769	1.23681749290198
GSE135251	GSM3998315	1	LUM	580	19.671245997071	528.673037873019	29484660	1.0970864001945
GSE135251	GSM3998316	1	LUM	415	14.3013093589629	354.227003976092	29018322	1.17156511316684
GSE135251	GSM3998317	1	LUM	586	19.6868580144158	490.624742534363	29766050	1.19439553124241
GSE135251	GSM3998318	2	LUM	1234	39.5428639838916	947.932404815304	31206642	1.30178058449266
GSE135251	GSM3998319	3	LUM	381	16.2177658601556	444.752577742635	23492755	0.856656080407192
GSE135251	GSM3998320	1	LUM	500	18.2133590836233	410.360087443139	27452377	1.2184420836719
GSE135251	GSM3998321	0	LUM	572	20.0567950931542	508.756936376256	28519013	1.12430899532144
GSE135251	GSM3998322	3	LUM	1291	44.7151413434881	1168.04993689301	28871652	1.10526096464166
GSE135251	GSM3998323	0	LUM	619	22.9101094651692	612.376152572132	27018640	1.01081663190189
GSE135251	GSM3998324	3	LUM	2634	103.321893003001	2180.9518681108	25493145	1.20772954163433
GSE135251	GSM3998325	0	LUM	199	6.89841313618709	169.649164019902	28847214	1.17300902217623
GSE135251	GSM3998326	0	LUM	428	16.9304232783826	420.51532415086	25279935	1.01779881830526
GSE135251	GSM3998327	3	LUM	5790	225.075231104448	4387.41445285478	25724732	1.31968385075465
GSE135251	GSM3998328	3	LUM	2493	84.975911220931	1967.77406268615	29337726	1.26691374140631
GSE135251	GSM3998329	3	LUM	1409	56.5296885579256	1207.88392227828	24924956	1.16650281869998
GSE135251	GSM3998330	3	LUM	1078	47.6844953155734	1371.86662964269	22606929	0.785790671415902
GSE135251	GSM3998331	1	LUM	413	14.9955303879159	380.149440453349	27541540	1.08641485702958
GSE135251	GSM3998332	4	LUM	2504	97.5931023190795	1897.05830909183	25657551	1.31993834243225
GSE135251	GSM3998333	3	LUM	528	21.6822537980081	570.804339143617	24351712	0.925010487467848
GSE135251	GSM3998334	3	LUM	1629	57.316849443731	1232.42853468656	28420962	1.32178049611153
GSE135251	GSM3998335	2	LUM	1123	53.6249025452155	1242.22783227408	20941763	0.904020962035753
GSE135251	GSM3998336	0	LUM	398	18.220781020502	469.737439796216	21843191	0.847281835087836
GSE135251	GSM3998337	2	LUM	489	16.6274962751348	404.563677481862	29409118	1.20870959806302
GSE135251	GSM3998338	3	LUM	483	21.9399284758332	561.84578237689	22014657	0.859666504848835
GSE135251	GSM3998339	0	LUM	310	10.2164129574304	241.989520668546	30343331	1.28104720875334
GSE135251	GSM3998340	3	LUM	395	15.1547576999789	322.17793819622	26064422	1.2260305662501
GSE135251	GSM3998342	control	LUM	463	18.7464450585828	466.052441339355	24698016	0.993450433752514
GSE135251	GSM3998343	2	LUM	206	11.8125924184832	283.57722767301	17439017	0.726433506986451
GSE135251	GSM3998344	1	LUM	193	9.16268750454871	213.964546124476	21063689	0.902018598388355
GSE135251	GSM3998345	0	LUM	87	4.61721876573569	115.116127690968	18842512	0.755758569585956
GSE135251	GSM3998346	0	LUM	177	7.08720910910578	165.069425684295	24974570	1.07227609998791
GSE135251	GSM3998347	2	LUM	309	13.277389546621	322.024500721585	23272647	0.959554317474604
GSE135251	GSM3998348	2	LUM	188	8.0802186919785	179.087167064521	23266697	1.04976812734029
GSE135251	GSM3998349	0	LUM	177	7.33762489041755	168.788032550636	24122247	1.04865254559384
GSE135251	GSM3998350	2	LUM	496	21.9676620955475	489.863488648215	22578643	1.01252698250429
GSE135251	GSM3998351	1	LUM	218	10.566182593329	229.026796881623	20631860	0.951853682487108
GSE135251	GSM3998352	1	LUM	252	9.95037683893428	232.188264012895	25325674	1.08532617301452
GSE135251	GSM3998353	0	LUM	51	2.48498896128923	58.9864096848471	20523230	0.86460593673158
GSE135251	GSM3998354	3	LUM	413	18.2632764954815	400.141183023554	22613686	1.03213569990293
GSE135251	GSM3998355	2	LUM	567	28.3347077582229	545.68189931604	20010794	1.03906690090084
GSE135251	GSM3998356	2	LUM	217	10.4499417451865	235.710055833667	20765666	0.920622581130479
GSE135251	GSM3998357	1	LUM	445	19.2063653606597	486.865236188965	23169402	0.914010627423979
GSE135251	GSM3998358	1	LUM	353	15.0404131213757	334.353759264995	23470100	1.05576800086231
GSE135251	GSM3998359	4	LUM	2045	89.3969413481312	1679.55847255586	22875503	1.21758190227699
GSE135251	GSM3998360	2	LUM	200	10.8328512714518	238.766488830204	18462360	0.83763848511517
GSE135251	GSM3998361	0	LUM	66	3.44127195668377	82.8174338338798	19178955	0.796933652066385
GSE135251	GSM3998362	2	LUM	714	48.5970593878527	955.428118989087	14692247	0.747308966325446
GSE135251	GSM3998363	1	LUM	217	10.183627701964	234.808520763621	21308713	0.924157263519631
GSE135251	GSM3998364	3	LUM	238	10.3664297719682	237.984874310622	22958724	1.00006355735599
GSE135251	GSM3998365	3	LUM	343	15.2797780823834	339.839307635909	22447970	1.00930054968061
GSE135251	GSM3998366	0	LUM	195	8.27656142742926	210.320221094793	23560509	0.92715764078677
GSE135251	GSM3998367	1	LUM	301	13.8271751030733	279.386559641183	21768727	1.07736034398568
GSE135251	GSM3998368	2	LUM	432	16.3731365039761	396.098966496733	26384682	1.09063652405052
GSE135251	GSM3998369	3	LUM	143	7.61193928951436	209.521669941019	18786277	0.682506969518976
GSE135251	GSM3998370	2	LUM	1081	47.5407826030817	848.646939756718	22738372	1.27379237390509
GSE135251	GSM3998371	2	LUM	2249	99.0283901493127	2132.46589120233	22710659	1.05464758394422
GSE135251	GSM3998372	3	LUM	2363	99.7687796255855	2118.33350231644	23684764	1.11549951762365
GSE135251	GSM3998373	3	LUM	551	25.7670803709375	529.767571468991	21383874	1.04007876222422
GSE135251	GSM3998374	3	LUM	738	44.6551830236242	795.267886911416	16526637	0.927989187223657
GSE135251	GSM3998375	1	LUM	361	17.2837624174976	345.768840607409	20886656	1.04405012136384
GSE135251	GSM3998376	2	LUM	1727	93.5926686646109	1695.80499313305	18452300	1.01839539746213
GSE135251	GSM3998377	1	LUM	926	38.1563447573265	763.859227111804	24268572	1.21226525403281
GSE135251	GSM3998378	3	LUM	4088	198.756749306138	3785.28924765061	20567855	1.07997030941223
GSE135251	GSM3998379	3	LUM	1637	63.278346370206	1313.30768620556	25869829	1.24647104193051
GSE135251	GSM3998380	1	LUM	843	39.922734590819	798.383310892466	21115788	1.05588379478732
GSE135251	GSM3998381	2	LUM	674	31.6916733090658	667.579851551634	21267416	1.00961704945625
GSE135251	GSM3998382	3	LUM	1642	78.5858528426781	1339.0025375217	20894346	1.22628595091321
GSE135251	GSM3998167	2	THBS2	79	3.39227926685717	79.3732957157929	23288177	0.995296960867928
GSE135251	GSM3998168	3	THBS2	246	12.3340543239885	273.006668760268	19944780	0.901076889869006
GSE135251	GSM3998169	2	THBS2	310	12.6400955819563	283.107164738725	24525131	1.09499171554381
GSE135251	GSM3998170	3	THBS2	204	7.27358895315834	166.06396572195	28046677	1.22844230000847
GSE135251	GSM3998171	0	THBS2	114	4.00981081114639	92.8897272960419	28430269	1.22726165011422
GSE135251	GSM3998172	1	THBS2	232	9.30503650341756	241.762361335145	24932734	0.959620011646014
GSE135251	GSM3998173	3	THBS2	213	8.60501096856105	185.130501488389	24753019	1.15053974513951
GSE135251	GSM3998174	2	THBS2	108	4.39571227572252	113.865247836325	24569397	0.948489570366934
GSE135251	GSM3998175	0	THBS2	65	3.4672739481411	88.4547275929983	18746716	0.734839185748
GSE135251	GSM3998176	2	THBS2	90	3.74135653107409	94.3063523190657	24055446	0.954336561502283
GSE135251	GSM3998177	1	THBS2	58	2.17471584619075	53.6859977971	26670151	1.08035618932155
GSE135251	GSM3998178	2	THBS2	194	7.78178245417443	197.351066560664	24930021	0.983019769697401
GSE135251	GSM3998179	3	THBS2	191	8.6859009500784	210.835655950227	21989659	0.905918873822226
GSE135251	GSM3998180	2	THBS2	88	3.76748052094837	89.3280476129961	23357785	0.985132915713666
GSE135251	GSM3998181	1	THBS2	53	2.31422837381967	61.5758615532166	22901802	0.860726893024389
GSE135251	GSM3998182	2	THBS2	53	2.04768106494251	57.7217237056193	25882937	0.91819849785325
GSE135251	GSM3998183	1	THBS2	85	3.87972771066762	95.6377442873552	21908754	0.888770439258868
GSE135251	GSM3998184	2	THBS2	219	8.27111397289137	200.213578861393	26477691	1.09383190313786
GSE135251	GSM3998185	3	THBS2	347	12.4656498600129	314.649645128691	27836495	1.10281389276024
GSE135251	GSM3998186	2	THBS2	60	2.33891210648973	55.478574826891	25652952	1.08149858187989
GSE135251	GSM3998187	2	THBS2	426	18.7115918223492	395.363894577642	22766636	1.07748837423581
GSE135251	GSM3998188	3	THBS2	698	25.5660864471429	573.067297785581	27301793	1.21800703459642
GSE135251	GSM3998189	0	THBS2	169	6.64557097664451	164.031042701684	25430471	1.03029278614874
GSE135251	GSM3998190	3	THBS2	109	5.04900522785118	120.822868995458	21588411	0.902147092733722
GSE135251	GSM3998191	4	THBS2	748	30.1388247453934	647.70878151647	24818486	1.15483998572432
GSE135251	GSM3998192	1	THBS2	90	4.20999334540385	97.4483821135691	21377706	0.923565871982476
GSE135251	GSM3998193	3	THBS2	213	10.6948117961665	250.878845001077	19916199	0.849015388280688
GSE135251	GSM3998194	1	THBS2	90	4.48847270440056	96.5883049728051	20051364	0.931789827198437
GSE135251	GSM3998195	3	THBS2	301	12.6201365725185	274.854256291898	23850772	1.09512584618786
GSE135251	GSM3998196	1	THBS2	107	5.59239275698377	124.968611887201	19133134	0.856214999783949
