approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
BMPR1B	-0.879726118145043	0.0034749249894989	11.764814806869	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
LOXL3	0.68374620136162	0.0035693653378283	26.151949461196	strong	High-Quality Ligand
OLR1	1.41025688903898	0.0036289665716206	7.97895121491473	weak	Structure with Ligand
TP53I3	0.771008714482593	0.0036770194325487	198.84042219194	strong	Structure with Ligand;High-Quality Pocket
FABP4	1.24494460247656	0.0040866203992156	70.4478962251329	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CCDC40	0.922260751648222	0.0041427645661923	18.5918447819497	weak	Structure with Ligand
PTPN7	0.687094435234616	0.0042685019442585	34.3303934453756	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
ABCA4	0.606778089589921	0.0044790237484812	21.6520898819886	weak	Structure with Ligand;Druggable Family
ARAP3	0.627016154436042	0.0046551152839732	107.319592124963	weak	Structure with Ligand
POLQ	0.758941992544888	0.00469681563901	9.81530542404133	weak	Structure with Ligand
IL1RL2	-0.508788472907835	0.0047184477820818	75.3423466431611	weak	Structure with Ligand
DNAH5	1.48732904771154	0.0048578533377608	15.9593972244752	weak	Structure with Ligand
ST3GAL1	-0.551141342227825	0.0048849396998916	4712.99663117394	strong	High-Quality Ligand
ABCA7	0.69463975957808	0.0050013875857902	69.6490734944387	weak	Structure with Ligand;Druggable Family
SLC75A1	0.712002508716268	0.0050674932354737	84.3963688653096	weak	Structure with Ligand
TEAD4	0.634881794502083	0.0050782897906781	19.7567692695905	strong	Structure with Ligand;High-Quality Ligand
CFAP44	0.622395983149383	0.0050869997334856	191.768840375444	weak	Structure with Ligand
ZG16	-0.524381536174454	0.0051329920406099	788.67451989541	weak	Structure with Ligand
TTN	1.18108055463357	0.0055336246448048	39.6677916454834	weak	Structure with Ligand;Druggable Family
LAIR1	0.562168840782125	0.0057485508978541	91.1107461678446	weak	Structure with Ligand
GALK1	-0.696344186730611	0.0058898198840799	1360.78534415773	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
HS3ST1	0.936609291243488	0.006383412915685	8.63751802728009	weak	Structure with Ligand;Med-Quality Pocket
RYR2	1.14885671997388	0.0069857259002857	10.7773828234716	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
SCN4B	1.06594329636977	0.0070654761360398	13.0819052392716	weak	Structure with Ligand
SLC1A1	-0.501562117605894	0.007221953223382	1012.67459323525	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
DMPK	0.823386041493099	0.0073558803177786	76.5954560488738	strong	High-Quality Ligand;Med-Quality Pocket;Druggable Family
L3MBTL1	0.583777667332952	0.0074425621896953	39.6844621682535	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
RUSC2	0.506481266688458	0.0074460534349353	215.742842186698	weak	Structure with Ligand
